,vehicleid,delaytime
222,SE1221,17.99083757
223,SE1227,6.309523582
224,ES0222,30.59816957
225,ES0224,25.79079318
226,ES0230,6.294718742
227,ES0231,6.29446578
228,EN1225,27.28672338
229,EN1226,20.98423386
230,EN1229,14.98649359
231,EN1232,12.26484704
232,EW1233,6.289017439
233,SW0228,20.97429466
234,SW0234,6.592582703
235,SN1235,14.39202046
236,SE1236,8.692033052
237,EN1237,15.59655929
238,EN1238,12.89936686
239,SN1242,6.595765829
240,SE1239,11.41079235
241,ES0240,19.50067616
242,ES0241,19.49622083
243,ES0244,10.79281211
244,SW0243,19.5007093
245,EN1246,19.19022489
246,EN1247,18.87806654
247,EW1245,22.20247006
248,EN1250,6.307291269
249,EW1249,6.311823606
250,EN1251,6.293369055
251,ES0248,17.39447427
252,ES0254,6.297543287
,,
,,18.16663348
