# 17b4de0d-c737-4d0b-b937-32bd2ef0c95b;;;;;;
# 603fd3987364b09f9aacb70d1ed12c268e24dd56;;;;;;
# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
7.7984074;-17.51;-0.81;3.4045019;0.0001885;8;0
7.9983666;-17.5;-0.81;3.4045396;0.0001887;8;0
8.1983258;-17.48;-0.81;3.4045773;0.0001886;8;0
8.3982849;-17.44;-0.81;3.404615;0.0001885;8;0
8.5982441;-17.42;-0.81;3.4046527;0.0001881;8;0
8.7982033;-17.39;-0.81;3.4046903;0.0001875;8;0
8.9981624;-17.34;-0.81;3.4047277;0.0001869;8;0
9.1981216;-17.32;-0.81;3.404765;0.0001859;8;0
9.3980808;-17.3;-0.81;3.4048021;0.0001849;8;0
9.5980399;-17.26;-0.81;3.4048389;0.0001837;8;0
9.7979991;-17.24;-0.81;3.4048755;0.0001823;8;0
9.9979582;-17.21;-0.81;3.4049118;0.0001809;8;0
10.1979174;-17.2;-0.81;3.4049478;0.0001791;8;0
10.3978766;-17.16;-0.81;3.4049835;0.0001773;8;0
10.5978357;-17.15;-0.81;3.4050187;0.0001753;8;0
10.7977949;-17.11;-0.81;3.4050535;0.0001731;8;0
10.9977541;-17.1;-0.81;3.4050879;0.0001709;8;0
11.1977132;-17.07;-0.81;3.4051218;0.0001683;8;0
11.3976724;-17.06;-0.81;3.4051552;0.0001658;8;0
11.5976316;-17.04;-0.81;3.4051881;0.000163;8;0
11.7975907;-17.02;-0.81;3.4052204;0.0001601;8;0
11.9975499;-16.97;-0.81;3.4052522;0.0001572;8;0
12.1975091;-16.95;-0.81;3.4052833;0.0001539;8;0
12.3974682;-16.92;-0.81;3.4053137;0.0001507;8;0
12.5974274;-16.9;-0.81;3.4053435;0.0001473;8;0
12.7973866;-16.86;-0.81;3.4053726;0.0001437;8;0
12.9973457;-16.85;-0.81;3.405401;0.0001401;8;0
13.1973049;-16.8;-0.81;3.4054286;0.0001362;8;0
13.3972641;-16.77;-0.81;3.4054554;0.0001324;8;0
13.5972232;-16.74;-0.81;3.4054815;0.0001284;8;0
13.7971824;-16.72;-0.81;3.4055068;0.0001242;8;0
13.9971415;-16.71;-0.81;3.4055312;0.00012;8;0
14.1971007;-16.68;-0.81;3.4055548;0.0001156;8;0
14.3970599;-16.63;-0.81;3.4055774;0.0001112;8;0
14.597019;-16.61;-0.81;3.4055992;0.0001067;8;0
14.7969782;-16.59;-0.81;3.4056201;0.000102;8;0
14.9969374;-16.57;-0.81;3.40564;0.0000973;8;0
15.1968965;-16.56;-0.81;3.405659;0.0000924;8;0
15.3968557;-16.55;-0.81;3.405677;0.0000875;8;0
15.5968149;-16.52;-0.81;3.405694;0.0000825;8;0
15.796774;-16.51;-0.81;3.40571;0.0000774;8;0
15.9967332;-16.49;-0.81;3.4057249;0.0000722;8;0
16.1966924;-16.48;-0.81;3.4057388;0.0000669;8;0
16.3966515;-16.45;-0.81;3.4057517;0.0000616;8;0
16.5966107;-16.43;-0.81;3.4057635;0.0000562;8;0
16.7965699;-16.4;-0.81;3.4057741;0.0000506;8;0
16.996529;-16.38;-0.81;3.4057837;0.0000451;8;0
17.1964882;-16.37;-0.81;3.4057922;0.0000394;8;0
17.3964474;-16.36;-0.81;3.4057995;0.0000337;8;0
17.5964065;-16.33;-0.81;3.4058056;0.0000279;8;0
17.7963657;-16.31;-0.81;3.4058106;0.0000221;8;0
17.9963248;-16.26;-0.81;3.4058145;0.0000162;8;0
18.196284;-16.22;-0.81;3.4058171;0.0000102;8;0
18.3962432;-16.2;-0.81;3.4058185;0.0000041;8;0
18.5962023;-16.18;-0.81;3.4058187;-0.000002;8;0
18.7961615;-16.17;-0.81;3.4058177;-0.0000081;8;0
18.9961207;-16.15;-0.81;3.4058155;-0.0000143;8;0
19.1960798;-16.1;-0.81;3.405812;-0.0000206;8;0
19.396039;-16.08;-0.81;3.4058073;-0.0000269;8;0
19.5959982;-16.05;-0.81;3.4058013;-0.0000333;8;0
19.7959573;-16.03;-0.81;3.405794;-0.0000397;8;0
19.9959165;-16.01;-0.81;3.4057854;-0.0000462;8;0
20.1958757;-16;-0.81;3.4057755;-0.0000526;8;0
20.3958348;-15.97;-0.81;3.4057643;-0.000059;8;0
20.595794;-15.95;-0.81;3.4057519;-0.0000657;8;0
20.7957532;-15.94;-0.81;3.4057381;-0.0000725;8;0
20.9957123;-15.93;-0.81;3.4057229;-0.0000793;8;0
21.1956715;-15.91;-0.81;3.4057063;-0.000086;8;0
21.3956307;-15.88;-0.81;3.4056885;-0.0000927;8;0
21.5955898;-15.84;-0.81;3.4056693;-0.000099;8;0
21.795549;-15.83;-0.81;3.4056489;-0.0001051;8;0
21.9955081;-15.82;-0.81;3.4056273;-0.0001108;8;0
22.1954673;-15.8;-0.81;3.4056048;-0.0001138;8;0
22.3954265;-15.78;-0.81;3.4055818;-0.0001167;8;0
22.5953856;-15.77;-0.81;3.4055582;-0.000118;8;0
22.7953448;-15.73;-0.81;3.4055346;-0.0001181;8;0
22.995304;-15.7;-0.81;3.405511;-0.000118;8;0
23.1952631;-15.69;-0.81;3.4054876;-0.0001155;8;0
23.3952223;-15.64;-0.81;3.4054648;-0.0001131;8;0
23.5951815;-15.63;-0.81;3.4054425;-0.0001091;8;0
23.7951406;-15.62;-0.81;3.4054212;-0.0001041;8;0
23.9950998;-15.59;-0.81;3.4054009;-0.0000989;8;0
24.195059;-15.57;-0.81;3.4053818;-0.0000915;8;0
24.3950181;-15.56;-0.81;3.4053643;-0.0000842;8;0
24.5949773;-15.52;-0.81;3.4053483;-0.0000754;8;0
24.7949365;-15.5;-0.81;3.4053342;-0.0000656;8;0
24.9948956;-15.47;-0.81;3.405322;-0.0000552;8;0
25.1948548;-15.42;-0.81;3.4053126;-0.0000389;8;0
25.394814;-15.4;-0.81;3.4053065;-0.0000226;8;0
25.5947731;-15.38;-0.81;3.4053042;0.0000032;8;0
25.7947323;-15.33;-0.81;3.405308;0.0000352;8;0
25.9946914;-15.31;-0.81;3.4053179;0.0000305;8;0
26.1946506;-15.3;-0.81;3.4052921;-0.0002878;8;0
26.3946098;-15.27;-0.81;3.4052028;-0.0006062;8;0
26.5945689;-15.26;-0.81;3.4049954;-0.00182;8;0
26.7945281;-15.22;-0.81;3.4044521;-0.0036145;8;0
26.9944873;-15.21;-0.81;3.4035492;-0.0054763;8;0
27.1944464;-15.19;-0.81;3.4022122;-0.007897;8;0
27.3944056;-15.16;-0.81;3.4003912;-0.0103164;8;0
27.5943648;-15.13;-0.81;3.3980418;-0.0134694;8;0
27.7943239;-15.11;-0.81;3.3949863;-0.0170916;8;0
27.9942831;-15.1;-0.81;3.3912062;-0.020731;8;0
28.1942423;-15.08;-0.81;3.3866831;-0.0245107;8;0
28.3942014;-15.05;-0.81;3.3814039;-0.0282908;8;0
