,starttime,endtime,,
136,1709222636,1709222636,,2.00272E-05
137,1709222636,1709222636,,2.00272E-05
138,1709222636,1709222636,,2.00272E-05
139,1709222636,1709222636,,2.00272E-05
140,1709222636,1709222636,,3.00407E-05
141,1709222636,1709222636,,2.00272E-05
142,1709222636,1709222636,,3.00407E-05
143,1709222636,1709222636,,2.00272E-05
144,1709222637,1709222637,,2.00272E-05
145,1709222637,1709222637,,2.00272E-05
146,1709222637,1709222637,,1.97887E-05
147,1709222637,1709222637,,0.000109911
148,1709222637,1709222637,,3.00407E-05
149,1709222637,1709222637,,2.00272E-05
150,1709222637,1709222637,,1.97887E-05
151,1709222637,1709222637,,2.00272E-05
152,1709222637,1709222637,,3.00407E-05
153,1709222637,1709222637,,2.00272E-05
154,1709222638,1709222638,,3.00407E-05
155,1709222638,1709222638,,2.00272E-05
156,1709222638,1709222638,,2.00272E-05
157,1709222638,1709222638,,1.97887E-05
158,1709222638,1709222638,,2.00272E-05
159,1709222638,1709222638,,3.00407E-05
160,1709222638,1709222638,,2.00272E-05
161,1709222638,1709222638,,2.00272E-05
162,1709222638,1709222638,,2.00272E-05
163,1709222638,1709222638,,2.00272E-05
164,1709222638,1709222638,,2.00272E-05
165,1709222639,1709222639,,2.98023E-05
166,1709222639,1709222639,,2.00272E-05
167,1709222639,1709222639,,2.00272E-05
168,1709222639,1709222639,,2.00272E-05
169,1709222639,1709222639,,6.00815E-05
170,1709222639,1709222639,,1.97887E-05
171,1709222639,1709222639,,3.00407E-05
172,1709222639,1709222639,,2.00272E-05
173,1709222639,1709222639,,2.00272E-05
174,1709222639,1709222639,,3.00407E-05
175,1709222640,1709222640,,1.97887E-05
176,1709222640,1709222640,,1.97887E-05
177,1709222640,1709222640,,0.000129938
178,1709222640,1709222640,,3.00407E-05
179,1709222640,1709222640,,2.98023E-05
180,1709222640,1709222640,,2.00272E-05
181,1709222640,1709222640,,1.00136E-05
182,1709222640,1709222640,,2.00272E-05
183,1709222640,1709222640,,2.00272E-05
184,1709222640,1709222640,,3.00407E-05
185,1709222641,1709222641,,1.97887E-05
186,1709222641,1709222641,,2.00272E-05
187,1709222641,1709222641,,2.00272E-05
188,1709222641,1709222641,,2.00272E-05
189,1709222641,1709222641,,2.00272E-05
190,1709222641,1709222641,,2.00272E-05
191,1709222641,1709222641,,2.00272E-05
192,1709222641,1709222641,,2.00272E-05
193,1709222641,1709222641,,2.00272E-05
194,1709222642,1709222642,,3.98159E-05
195,1709222642,1709222642,,1.97887E-05
196,1709222642,1709222642,,2.00272E-05
197,1709222642,1709222642,,2.00272E-05
198,1709222642,1709222642,,2.00272E-05
199,1709222642,1709222642,,3.00407E-05
200,1709222642,1709222642,,3.00407E-05
201,1709222642,1709222642,,3.00407E-05
202,1709222642,1709222642,,2.98023E-05
203,1709222642,1709222642,,2.00272E-05
204,1709222643,1709222643,,2.00272E-05
205,1709222643,1709222643,,2.00272E-05
206,1709222643,1709222643,,1.97887E-05
207,1709222643,1709222643,,3.00407E-05
208,1709222643,1709222643,,2.00272E-05
209,1709222643,1709222643,,3.00407E-05
210,1709222643,1709222643,,2.00272E-05
211,1709222643,1709222643,,2.00272E-05
212,1709222643,1709222643,,3.00407E-05
213,1709222643,1709222643,,2.00272E-05
214,1709222644,1709222644,,2.00272E-05
215,1709222644,1709222644,,2.00272E-05
216,1709222644,1709222644,,2.00272E-05
217,1709222644,1709222644,,2.00272E-05
218,1709222644,1709222644,,2.00272E-05
219,1709222644,1709222644,,2.00272E-05
220,1709222644,1709222644,,2.00272E-05
221,1709222644,1709222644,,2.00272E-05
222,1709222644,1709222644,,2.00272E-05
223,1709222644,1709222644,,2.00272E-05
224,1709222644,1709222644,,2.00272E-05
225,1709222645,1709222645,,2.00272E-05
226,1709222645,1709222645,,2.00272E-05
227,1709222645,1709222645,,2.00272E-05
228,1709222645,1709222645,,2.00272E-05
229,1709222645,1709222645,,2.00272E-05
