,vehicleid,delaytime,,
219,SE1234,6.267535925,,
220,SE1235,6.228558779,,
221,SE1239,6.311089993,,
222,ES0201,81.58157086,,
223,ES0211,65.69631982,,
224,ES0215,59.38855195,,
225,ES0216,53.39318705,,
226,ES0217,53.38967681,,
227,ES0222,50.08949089,,
228,ES0232,6.285664082,,
229,ES0240,6.275930643,,
230,ES0242,6.273373365,,
231,ES0246,6.29087162,,
232,ES0250,6.30351758,,
233,ES0251,6.301635981,,
234,EN1218,75.88647723,,
235,EW1220,74.38717175,,
236,EN1225,60.28931046,,
237,EW1228,57.29683256,,
238,EN1227,59.08426166,,
239,EW1229,55.78958011,,
240,EN1230,56.68638611,,
241,EW1249,20.10397124,,
242,EN1231,6.288650036,,
243,EW1253,6.282704592,,
244,EN1236,6.281411648,,
245,EW1254,6.266714811,,
246,EN1243,6.271389961,,
247,EN1261,6.296466589,,
248,SW0237,65.40423465,,
249,SW0238,60.58841872,,
250,SW0241,58.15864944,,
251,SW0245,49.47606349,,
252,SW0247,6.573638201,,
253,SW0248,6.572958231,,
254,SW0255,6.57869935,,
255,SW0256,6.575329065,,
256,SW0263,6.574737787,,
257,SN1259,39.31883693,,
258,SE1244,73.20161748,,
259,SE1252,57.90425563,,
260,SN1262,33.61612892,,
261,SE1264,32.41149044,,
262,SE1267,32.38754344,,
263,SE1268,6.271644115,,
264,SE1269,6.294007301,,
265,SE1273,6.282790422,,
266,SN1280,6.301570415,,
267,SE1276,6.276996851,,
268,SN1281,6.286266804,,
269,SE1285,6.300428391,,
270,SN1290,6.305356979,,
271,ES0257,67.48585129,,
272,ES0258,67.19638133,,
273,ES0260,62.99164057,,
274,ES0270,52.1986866,,
275,ES0274,36.88756299,,
276,ES0278,6.282711744,,
277,ES0288,6.280688763,,
278,ES0297,6.27422452,,
279,ES0298,6.297770977,,
280,EN1266,80.67879605,,
281,EW1265,81.01009274,,
282,EN1271,70.19152117,,
283,EW1272,69.91035008,,
284,EN1279,55.18812585,,
285,EW1277,57.903404,,
286,EN1283,47.97383618,,
287,EW1292,35.9958322,,
288,EN1287,45.58114719,,
289,EW1304,6.277219296,,
290,EN1294,6.280225039,,
291,EW1305,6.271805763,,
292,EN1295,6.268516302,,
293,EW1307,6.246469975,,
294,EN1300,6.268345833,,
295,EN1310,6.287258625,,
296,SW0275,81.88977075,,
297,SW0282,71.67144418,,
298,SW0284,71.37094402,,
299,SW0286,69.57661748,,
300,SW0289,6.581952572,,
301,SW0291,6.570164919,,
302,SW0296,6.563492775,,
303,SW0309,6.522108555,,
304,SW0311,6.569051743,,
305,SW0315,6.561497211,,
306,SW0317,6.586400986,,
307,SN1293,80.64980507,,
308,SE1302,58.185426,,
309,SE1303,58.18432713,,
310,SN1299,62.07513666,,
311,SE1306,55.78396654,,
312,SN1301,60.57991648,,
