,vehicleid,delaytime
222,EN1213,50.38979292
223,EW1215,46.49820304
224,EN1214,50.39971566
225,WE1211,56.39443874
226,WS1229,33.90703106
227,EW1227,36.28578305
228,EN1223,41.09348083
229,WE1216,47.72194409
230,WS1235,13.21688914
231,EW1236,11.68133163
232,EN1233,22.7906363
233,WE1225,41.66832638
234,EW1238,6.267723322
235,WE1243,6.611363173
236,WS1245,6.608467102
237,EW1248,6.310258627
238,NE0226,62.69254422
239,NE0230,56.08633471
240,NE0249,10.7957952
241,SW0255,6.606409788
242,SW0257,6.593599081
243,SN1234,64.17536974
244,SE1241,50.07047343
245,NS1231,73.79314923
246,NW1244,43.5348506
247,SN1250,32.10592437
248,SE1242,45.91742539
249,NS1239,52.19885063
250,NW1247,37.23353624
251,SN1262,9.306819677
252,SE1256,20.4187994
253,NS1252,23.40491343
254,NW1261,11.09834981
255,NS1254,21.00056052
256,SE1271,6.300589561
257,NW1274,6.000578642
258,ES0246,63.90472794
259,WN0240,78.95394278
260,ES0260,40.49696326
261,WN0253,48.65246367
262,ES0276,6.288787603
263,WN0267,27.88733482
264,ES0286,6.295641184
265,ES0287,6.297058821
266,ES0289,6.289554358
267,WN0291,6.601441145
268,ES0294,6.287146807
269,EN1266,49.79863
270,EW1251,80.40912724
271,WE1258,68.41966891
272,WS1259,67.85615468
273,EN1272,40.19927931
274,EW1268,48.89596272
275,WE1264,58.2255435
276,WS1269,45.65001416
277,EW1288,16.48212624
278,WE1280,27.25914454
279,WS1277,31.80778408
280,EW1297,8.986593962
281,WE1285,21.0321815
282,WS1282,25.81188393
283,WE1295,6.585596561
284,WS1293,6.570737839
285,WS1298,6.544542551
286,EW1302,6.264555931
287,WS1301,6.512239218
288,WS1303,6.549574137
289,WE1306,6.563568115
290,EW1307,6.296664953
291,SW0265,73.81559563
292,NE0263,81.93241811
293,SW0270,66.30145431
294,NE0278,52.79503918
295,SW0273,63.87830544
296,NE0290,39.8631196
297,SW0283,45.59755135
298,NE0299,32.67361546
299,SW0284,6.558062792
300,NE0300,6.550974607
301,NE0305,6.560597897
302,NE0313,6.574894905
303,NE0316,6.609087944
304,SN1275,79.80581665
305,SE1292,62.10096097
306,NS1279,73.51880813
307,NW1296,58.82368636
308,SN1315,20.41218591
309,SE1304,45.31017137
310,NS1281,72.90503764
311,NW1311,28.48554492
312,SN1319,12.31375885
313,SE1312,29.99451733
314,NS1318,11.70657206
315,SN1320,10.80792928
316,NS1321,9.883317709
317,NS1329,5.994523525
318,SN1331,6.31112051
319,SE1332,6.311190367
320,NW1335,6.001004696
321,ES0310,53.69985843
322,WN0308,61.23261976
323,ES0337,14.10742331
324,WN0326,31.17844391
325,ES0345,6.300153971
326,WN0351,6.621742964
327,ES0355,6.303211689
328,EN1333,43.48952317
329,EW1309,79.21531057
330,WE1336,40.54413915
331,WS1317,64.85950446
332,EW1314,70.51034403
333,EN1334,40.79562545
334,EW1323,58.80468917
335,WE1338,38.71803284
336,WS1324,59.73527503
337,EN1342,28.18907595
338,EW1327,55.80809855
339,WE1356,9.882022381
340,WS1348,22.20024848
341,EN1349,20.08756351
342,EW1328,53.39657187
343,WE1357,6.569763899
344,EN1358,6.278065681
345,EW1330,6.24958992
346,EW1341,6.250551701
347,SW0322,81.59093642
348,NE0346,45.91423535
349,SW0325,81.28317595
350,SW0352,39.86026907
351,SW0362,20.39545321
352,SW0366,15.58611131
353,SW0367,6.572781801
354,SW0371,6.57324934
355,SN1340,79.7656467
356,SE1339,80.36273026
357,NS1344,73.51479554
358,NW1347,69.62488317
359,SE1343,74.98873568
360,NW1353,62.12935996
361,SN1363,44.69792771
362,NS1364,42.00399184
363,SE1350,68.37309241
364,NW1354,62.08315682
365,SN1373,25.78799081
366,NS1377,19.81392312
367,NW1359,53.36025667
368,SN1380,10.81190991
369,SE1361,47.70276809
370,NS1382,5.975519419
371,NW1360,5.933981657
372,SE1365,6.26205039
373,NW1379,5.930660009
374,SE1376,6.268718004
375,NW1381,5.912692785
376,NW1388,6.002783537
377,ES0372,51.00667167
378,WN0375,47.99703646
379,ES0378,44.69400382
380,ES0384,29.69218779
381,WN0400,6.600445509
382,ES0402,6.294384241
383,WN0404,6.590288639
384,WN0409,6.660811424
385,EN1370,77.40520334
386,EW1383,53.13212156
387,WE1393,33.04606295
388,WS1368,81.34214354
389,EN1387,49.80245066
390,EW1385,52.51814938
391,WS1369,81.00958848
392,WE1407,12.9142189
393,EN1389,44.98373771
394,EW1412,8.109112501
395,WS1374,75.28389192
396,WE1410,9.917918682
397,EN1391,36.88147283
398,WS1386,53.01595807
399,EN1396,6.293780088
400,WS1395,32.40195799
401,EN1403,6.277908087
402,WS1399,6.543973923
403,WS1415,6.522156954
404,WE1418,6.602230787
405,EW1419,6.305444717
406,SW0390,59.39707541
407,NE0413,30.02165437
408,NE0416,21.01534081
409,SW0394,53.6866715
410,SW0397,50.39349771
411,SN1392,81.2860806
412,SE1398,72.90356517
413,NS1405,62.45771194
414,NW1421,35.75916362
415,SN1401,70.49526668
416,SE1408,58.17557645
417,NS1406,62.41254091
418,SN1417,45.29911065
419,SE1414,54.86316657
420,NS1420,38.38738656
421,SN1434,9.58738184
422,SE1423,37.4776628
423,SE1428,6.266513109
424,SE1429,6.256916523
425,SE1436,6.25071764
426,NS1437,5.914875269
427,SE1442,6.289876223
428,SE1446,6.315149546
429,NW1449,6.013159275
430,ES0411,81.59497929
431,WN0424,60.63180518
432,ES0422,62.39332271
433,WN0443,23.14353132
434,ES0426,55.19604945
435,ES0427,52.79748082
436,ES0430,44.98847365
437,WN0456,6.585091352
438,ES0439,6.273606539
439,ES0444,6.264561415
440,ES0457,6.278161526
441,ES0461,6.289353609
442,ES0463,6.296596766
443,WN0466,6.61798954
444,EN1425,79.19445419
445,EW1447,39.60035014
446,WE1431,67.82701325
447,WS1438,51.89393497
448,EN1448,40.18196034
449,EW1452,29.69023538
450,WE1432,65.71114182
451,EW1453,29.67323565
452,EN1459,20.98831558
453,WE1433,64.82059407
454,WE1441,52.75586462
455,WE1460,6.557796717
456,WE1467,6.547169924
457,WE1471,6.593049526
458,EW1472,6.298152447
459,WE1475,6.545942783
460,SW0435,80.08634496
461,NE0440,74.37086153
462,NE0454,53.96524525
463,SW0445,67.48272991
464,SW0450,59.96096063
465,SW0462,41.65121627
466,SW0473,6.593217134
