# 17b4de0d-c737-4d0b-b937-32bd2ef0c95b;;;;;;
# 603fd3987364b09f9aacb70d1ed12c268e24dd56;;;;;;
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
20.7957532;38.29;2.65;3.4057381;-0.0000725;8;0
20.9957123;38.25;2.64;3.4057229;-0.0000793;8;0
21.1956715;38.2;2.62;3.4057063;-0.000086;8;0
21.3956307;38.18;2.61;3.4056885;-0.0000927;8;0
21.5955898;38.12;2.58;3.4056693;-0.000099;8;0
21.795549;38.09;2.57;3.4056489;-0.0001051;8;0
21.9955081;38.06;2.56;3.4056273;-0.0001108;8;0
22.1954673;38.04;2.56;3.4056048;-0.0001138;8;0
22.3954265;38.02;2.55;3.4055818;-0.0001167;8;0
22.5953856;37.98;2.54;3.4055582;-0.000118;8;0
22.7953448;37.94;2.52;3.4055346;-0.0001181;8;0
22.995304;37.91;2.52;3.405511;-0.000118;8;0
23.1952631;37.87;2.5;3.4054876;-0.0001155;8;0
23.3952223;37.84;2.5;3.4054648;-0.0001131;8;0
23.5951815;37.82;2.49;3.4054425;-0.0001091;8;0
23.7951406;37.79;2.49;3.4054212;-0.0001041;8;0
23.9950998;37.73;2.48;3.4054009;-0.0000989;8;0
24.195059;37.69;2.47;3.4053818;-0.0000915;8;0
24.3950181;37.65;2.47;3.4053643;-0.0000842;8;0
24.5949773;37.61;2.46;3.4053483;-0.0000754;8;0
24.7949365;37.59;2.46;3.4053342;-0.0000656;8;0
24.9948956;37.55;2.46;3.405322;-0.0000552;8;0
25.1948548;37.52;2.46;3.4053126;-0.0000389;8;0
25.394814;37.47;2.46;3.4053065;-0.0000226;8;0
25.5947731;37.44;2.46;3.4053042;0.0000032;8;0
25.7947323;37.41;2.47;3.405308;0.0000352;8;0
25.9946914;37.38;2.47;3.4053179;0.0000305;8;0
26.1946506;37.34;2.48;3.4052921;-0.0002878;8;0
26.3946098;37.31;2.49;3.4052028;-0.0006062;8;0
26.5945689;37.28;2.49;3.4049954;-0.00182;8;0
26.7945281;37.25;2.5;3.4044521;-0.0036145;8;0
26.9944873;37.21;2.51;3.4035492;-0.0054763;8;0
27.1944464;37.19;2.52;3.4022122;-0.007897;8;0
27.3944056;37.16;2.52;3.4003912;-0.0103164;8;0
27.5943648;37.13;2.53;3.3980418;-0.0134694;8;0
27.7943239;37.09;2.54;3.3949863;-0.0170916;8;0
27.9942831;37.06;2.55;3.3912062;-0.020731;8;0
28.1942423;37.03;2.55;3.3866831;-0.0245107;8;0
28.3942014;36.99;2.56;3.3814039;-0.0282908;8;0
28.5941606;36.94;2.57;3.3753719;-0.032024;8;0
28.7941198;36.92;2.58;3.3685979;-0.0357296;8;0
28.9940789;36.89;2.59;3.3610827;-0.0394341;8;0
29.1940381;36.84;2.6;3.3528291;-0.04312;8;0
29.3939973;36.8;2.61;3.3438379;-0.0468107;8;0
29.5939564;36.76;2.61;3.3341088;-0.0504978;8;0
29.7939156;36.72;2.62;3.3236423;-0.0541892;8;0
29.9938747;36.69;2.63;3.3124371;-0.0578859;8;0
30.1938339;36.64;2.64;3.3004927;-0.0615821;8;0
30.3937931;36.59;2.65;3.2878083;-0.0652915;8;0
30.5937522;36.55;2.66;3.2743813;-0.0690022;8;0
30.7937114;36.51;2.66;3.2602114;-0.0727271;8;0
30.9936706;36.49;2.67;3.2452957;-0.0764659;8;0
31.1936297;36.45;2.68;3.2296308;-0.0802105;8;0
31.3935889;36.41;2.69;3.2132159;-0.0839823;8;0
31.5935481;36.39;2.69;3.1960443;-0.0877633;8;0
31.7935072;36.36;2.7;3.1781145;-0.0915739;8;0
31.9934664;36.33;2.7;3.1594211;-0.0954114;8;0
32.1934256;36.31;2.71;3.139957;-0.0992597;8;0
32.3933847;36.28;2.71;3.1197214;-0.1031558;8;0
32.5933439;36.24;2.72;3.0987023;-0.10707;8;0
32.7933031;36.2;2.73;3.0768968;-0.1110342;8;0
32.9932622;36.16;2.73;3.0542958;-0.1150466;8;0
33.1932214;36.12;2.74;3.0308852;-0.1190934;8;0
33.3931805;36.1;2.74;3.0066621;-0.1232163;8;0
33.5931397;36.07;2.74;2.9816039;-0.1274302;8;0
33.7930989;36.04;2.75;2.9556913;-0.1317578;8;0
33.993058;36.02;2.75;2.9289081;-0.1361847;8;0
34.1930172;35.98;2.75;2.9012102;-0.1408404;8;0
34.3929764;35.95;2.75;2.8725743;-0.1456162;8;0
34.5929355;35.93;2.75;2.8430647;-0.1490357;8;0
34.7928947;35.89;2.76;2.8129917;-0.1517739;8;0
34.9928539;35.82;2.76;2.7823784;-0.1535787;8;0
35.192813;35.78;2.77;2.7520722;-0.1495696;8;0
35.3927722;35.74;2.77;2.7225572;-0.1456535;8;0
35.5927314;35.71;2.77;2.6938599;-0.1411925;8;0
35.7926905;35.66;2.77;2.6661015;-0.1364693;8;0
35.9926497;35.63;2.77;2.6392743;-0.1318691;8;0
36.1926089;35.6;2.77;2.6133524;-0.1274524;8;0
36.392568;35.56;2.77;2.5882998;-0.1231136;8;0
36.5925272;35.53;2.77;2.5641106;-0.118853;8;0
36.7924864;35.49;2.77;2.5407668;-0.1146479;8;0
36.9924455;35.47;2.77;2.5182532;-0.1105171;8;0
37.1924047;35.44;2.77;2.496566;-0.1064387;8;0
37.3923638;35.4;2.77;2.4756836;-0.1024154;8;0
37.592323;35.38;2.77;2.4556047;-0.0984223;8;0
37.7922822;35.34;2.77;2.4363218;-0.0944562;8;0
37.9922413;35.31;2.77;2.4178247;-0.0905349;8;0
38.1922005;35.26;2.77;2.4001146;-0.0866255;8;0
38.3921597;35.22;2.77;2.3831797;-0.0827512;8;0
