# 17b4de0d-c737-4d0b-b937-32bd2ef0c95b;;;;;;
# 603fd3987364b09f9aacb70d1ed12c268e24dd56;;;;;;
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
20.595794;37.73;1.7;3.4057519;-0.0000657;8;0
20.7957532;37.71;1.69;3.4057381;-0.0000725;8;0
20.9957123;37.69;1.68;3.4057229;-0.0000793;8;0
21.1956715;37.65;1.65;3.4057063;-0.000086;8;0
21.3956307;37.6;1.62;3.4056885;-0.0000927;8;0
21.5955898;37.57;1.6;3.4056693;-0.000099;8;0
21.795549;37.51;1.56;3.4056489;-0.0001051;8;0
21.9955081;37.48;1.55;3.4056273;-0.0001108;8;0
22.1954673;37.46;1.54;3.4056048;-0.0001138;8;0
22.3954265;37.42;1.52;3.4055818;-0.0001167;8;0
22.5953856;37.4;1.51;3.4055582;-0.000118;8;0
22.7953448;37.37;1.5;3.4055346;-0.0001181;8;0
22.995304;37.35;1.49;3.405511;-0.000118;8;0
23.1952631;37.33;1.47;3.4054876;-0.0001155;8;0
23.3952223;37.28;1.45;3.4054648;-0.0001131;8;0
23.5951815;37.25;1.44;3.4054425;-0.0001091;8;0
23.7951406;37.22;1.42;3.4054212;-0.0001041;8;0
23.9950998;37.2;1.41;3.4054009;-0.0000989;8;0
24.195059;37.16;1.39;3.4053818;-0.0000915;8;0
24.3950181;37.13;1.38;3.4053643;-0.0000842;8;0
24.5949773;37.11;1.37;3.4053483;-0.0000754;8;0
24.7949365;37.07;1.36;3.4053342;-0.0000656;8;0
24.9948956;37.06;1.35;3.405322;-0.0000552;8;0
25.1948548;37.03;1.35;3.4053126;-0.0000389;8;0
25.394814;37;1.33;3.4053065;-0.0000226;8;0
25.5947731;36.97;1.33;3.4053042;0.0000032;8;0
25.7947323;36.88;1.31;3.405308;0.0000352;8;0
25.9946914;36.85;1.3;3.4053179;0.0000305;8;0
26.1946506;36.8;1.3;3.4052921;-0.0002878;8;0
26.3946098;36.77;1.3;3.4052028;-0.0006062;8;0
26.5945689;36.75;1.29;3.4049954;-0.00182;8;0
26.7945281;36.72;1.29;3.4044521;-0.0036145;8;0
26.9944873;36.7;1.29;3.4035492;-0.0054763;8;0
27.1944464;36.68;1.29;3.4022122;-0.007897;8;0
27.3944056;36.65;1.28;3.4003912;-0.0103164;8;0
27.5943648;36.62;1.28;3.3980418;-0.0134694;8;0
27.7943239;36.58;1.28;3.3949863;-0.0170916;8;0
27.9942831;36.55;1.27;3.3912062;-0.020731;8;0
28.1942423;36.51;1.27;3.3866831;-0.0245107;8;0
28.3942014;36.47;1.27;3.3814039;-0.0282908;8;0
28.5941606;36.43;1.26;3.3753719;-0.032024;8;0
28.7941198;36.4;1.26;3.3685979;-0.0357296;8;0
28.9940789;36.33;1.25;3.3610827;-0.0394341;8;0
29.1940381;36.29;1.25;3.3528291;-0.04312;8;0
29.3939973;36.27;1.25;3.3438379;-0.0468107;8;0
29.5939564;36.23;1.24;3.3341088;-0.0504978;8;0
29.7939156;36.19;1.24;3.3236423;-0.0541892;8;0
29.9938747;36.13;1.24;3.3124371;-0.0578859;8;0
30.1938339;36.09;1.24;3.3004927;-0.0615821;8;0
30.3937931;36.05;1.24;3.2878083;-0.0652915;8;0
30.5937522;36.01;1.24;3.2743813;-0.0690022;8;0
30.7937114;35.97;1.24;3.2602114;-0.0727271;8;0
30.9936706;35.93;1.24;3.2452957;-0.0764659;8;0
31.1936297;35.9;1.24;3.2296308;-0.0802105;8;0
31.3935889;35.87;1.24;3.2132159;-0.0839823;8;0
31.5935481;35.84;1.24;3.1960443;-0.0877633;8;0
31.7935072;35.8;1.24;3.1781145;-0.0915739;8;0
