# 17b4de0d-c737-4d0b-b937-32bd2ef0c95b;;;;;;
# 603fd3987364b09f9aacb70d1ed12c268e24dd56;;;;;;
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
33.5931397;13.5;-22.22;2.9816039;-0.1274302;8;0
33.7930989;13.5;-22.17;2.9556913;-0.1317578;8;0
33.993058;13.5;-22.15;2.9289081;-0.1361847;8;0
34.1930172;13.5;-22.1;2.9012102;-0.1408404;8;0
34.3929764;13.5;-22.05;2.8725743;-0.1456162;8;0
34.5929355;13.51;-21.99;2.8430647;-0.1490357;8;0
34.7928947;13.51;-21.94;2.8129917;-0.1517739;8;0
34.9928539;13.51;-21.91;2.7823784;-0.1535787;8;0
35.192813;13.51;-21.88;2.7520722;-0.1495696;8;0
35.3927722;13.51;-21.84;2.7225572;-0.1456535;8;0
35.5927314;13.51;-21.8;2.6938599;-0.1411925;8;0
35.7926905;13.51;-21.76;2.6661015;-0.1364693;8;0
35.9926497;13.52;-21.7;2.6392743;-0.1318691;8;0
36.1926089;13.52;-21.68;2.6133524;-0.1274524;8;0
36.392568;13.52;-21.62;2.5882998;-0.1231136;8;0
36.5925272;13.52;-21.58;2.5641106;-0.118853;8;0
36.7924864;13.52;-21.55;2.5407668;-0.1146479;8;0
36.9924455;13.52;-21.51;2.5182532;-0.1105171;8;0
37.1924047;13.53;-21.49;2.496566;-0.1064387;8;0
37.3923638;13.53;-21.45;2.4756836;-0.1024154;8;0
37.592323;13.53;-21.41;2.4556047;-0.0984223;8;0
37.7922822;13.53;-21.39;2.4363218;-0.0944562;8;0
37.9922413;13.53;-21.35;2.4178247;-0.0905349;8;0
38.1922005;13.53;-21.32;2.4001146;-0.0866255;8;0
38.3921597;13.53;-21.29;2.3831797;-0.0827512;8;0
38.5921188;13.53;-21.25;2.3670184;-0.0788969;8;0
38.792078;13.54;-21.23;2.3516265;-0.0750587;8;0
38.9920372;13.54;-21.18;2.3369982;-0.0712453;8;0
39.1919963;13.54;-21.14;2.3231342;-0.0674304;8;0
39.3919555;13.54;-21.09;2.3100303;-0.0636346;8;0
39.5919147;13.54;-21.06;2.2976847;-0.0598421;8;0
39.7918738;13.54;-21.02;2.2860977;-0.0560533;8;0
39.991833;13.55;-20.98;2.2752671;-0.0522674;8;0
40.1917922;13.55;-20.94;2.2651982;-0.0484402;8;0
40.3917513;13.55;-20.85;2.2558944;-0.0446199;8;0
40.5917105;13.55;-20.83;2.2473589;-0.040722;8;0
40.7916697;13.55;-20.77;2.2396095;-0.0367881;8;0
40.9916288;13.55;-20.74;2.2326447;-0.0329658;8;0
41.191588;13.56;-20.72;2.2263854;-0.0296353;8;0
41.3915471;13.56;-20.69;2.220793;-0.0263021;8;0
41.5915063;13.56;-20.65;2.2158671;-0.0229675;8;0
41.7914655;13.56;-20.63;2.2116083;-0.0196288;8;0
41.9914246;13.56;-20.6;2.2080096;-0.0167279;8;0
42.1913838;13.56;-20.58;2.2047526;-0.0158485;8;0
42.391343;13.56;-20.55;2.2016715;-0.014969;8;0
42.5913021;13.56;-20.5;2.1987319;-0.0145939;8;0
42.7912613;13.56;-20.48;2.1958275;-0.0144566;8;0
42.9912205;13.57;-20.46;2.1929505;-0.0143194;8;0
43.1911796;13.57;-20.43;2.1901009;-0.0141818;8;0
43.3911388;13.57;-20.39;2.1872789;-0.0140442;8;0
43.591098;13.57;-20.35;2.1844844;-0.013907;8;0
43.7910571;13.57;-20.29;2.1817172;-0.0137701;8;0
43.9910163;13.57;-20.26;2.1789775;-0.0136333;8;0
44.1909755;13.57;-20.22;2.176265;-0.0134969;8;0
44.3909346;13.58;-20.19;2.1735798;-0.0133605;8;0
44.5908938;13.58;-20.16;2.1709219;-0.0132245;8;0
44.790853;13.58;-20.1;2.1682911;-0.0130886;8;0
44.9908121;13.58;-20.05;2.1656875;-0.0129529;8;0
45.1907713;13.58;-20.02;2.163111;-0.0128175;8;0
45.3907304;13.58;-20;2.1605616;-0.0126821;8;0
45.5906896;13.58;-19.96;2.1580392;-0.0125471;8;0
45.7906488;13.59;-19.94;2.1555438;-0.0124122;8;0
45.9906079;13.59;-19.91;2.1530753;-0.0122774;8;0
46.1905671;13.59;-19.87;2.1506338;-0.012143;8;0
46.3905263;13.59;-19.84;2.1482191;-0.0120086;8;0
46.5904854;13.59;-19.8;2.1458313;-0.0118744;8;0
46.7904446;13.59;-19.77;2.1434703;-0.0117405;8;0
46.9904038;13.59;-19.73;2.1411361;-0.0116066;8;0
47.1903629;13.6;-19.68;2.1388286;-0.011473;8;0
47.3903221;13.6;-19.64;2.1365478;-0.0113395;8;0
47.5902813;13.6;-19.6;2.1342937;-0.0112062;8;0
47.7902404;13.6;-19.54;2.1320662;-0.0110731;8;0
47.9901996;13.6;-19.51;2.1298653;-0.01094;8;0
48.1901588;13.6;-19.46;2.1276911;-0.0108073;8;0
48.3901179;13.61;-19.42;2.1255433;-0.0106745;8;0
48.5900771;13.61;-19.36;2.1234221;-0.010542;8;0
48.7900363;13.61;-19.3;2.1213274;-0.0104097;8;0
48.9899954;13.61;-19.28;2.1192591;-0.0102774;8;0
49.1899546;13.61;-19.26;2.1172172;-0.0101453;8;0
49.3899137;13.61;-19.23;2.1152018;-0.0100133;8;0
49.5898729;13.61;-19.18;2.1132127;-0.0098816;8;0
49.7898321;13.62;-19.14;2.1112499;-0.0097499;8;0
49.9897912;13.62;-19.11;2.1093135;-0.0096183;8;0
50.1897504;13.62;-19.06;2.1074034;-0.0094869;8;0
50.3897096;13.62;-19.01;2.1055195;-0.0093556;8;0
50.5896687;13.62;-18.94;2.1036619;-0.0092245;8;0
50.7896279;13.62;-18.91;2.1018305;-0.0090935;8;0
50.9895871;13.63;-18.9;2.1000253;-0.0089625;8;0
51.1895462;13.63;-18.85;2.0982462;-0.0088317;8;0
51.3895054;13.63;-18.78;2.0964933;-0.0087009;8;0
51.5894646;13.63;-18.73;2.0947665;-0.0085704;8;0
51.7894237;13.63;-18.71;2.0930658;-0.0084401;8;0
51.9893829;13.63;-18.67;2.0913912;-0.0083097;8;0
52.1893421;13.63;-18.65;2.0897426;-0.0081796;8;0
52.3893012;13.64;-18.62;2.08812;-0.0080494;8;0
52.5892604;13.64;-18.57;2.0865235;-0.0079194;8;0
52.7892196;13.64;-18.51;2.0849529;-0.0077894;8;0
52.9891787;13.64;-18.43;2.0834083;-0.0076596;8;0
53.1891379;13.65;-18.35;2.0818897;-0.0075299;8;0
53.389097;13.65;-18.32;2.080397;-0.0074002;8;0
53.5890562;13.65;-18.28;2.0789302;-0.0072707;8;0
53.7890154;13.65;-18.22;2.0774893;-0.0071412;8;0
53.9889745;13.65;-18.14;2.0760743;-0.0070118;8;0
54.1889337;13.66;-18.11;2.0746851;-0.0068825;8;0
54.3888929;13.66;-18.09;2.0733218;-0.0067533;8;0
54.588852;13.66;-18.07;2.0719844;-0.0066242;8;0
54.7888112;13.66;-18.01;2.0706727;-0.0064952;8;0
54.9887704;13.66;-17.97;2.0693868;-0.0063663;8;0
55.1887295;13.66;-17.94;2.0681267;-0.0062374;8;0
55.3886887;13.66;-17.91;2.0668923;-0.0061086;8;0
55.5886479;13.67;-17.84;2.0656837;-0.0059799;8;0
55.788607;13.67;-17.79;2.0645008;-0.0058513;8;0
55.9885662;13.67;-17.75;2.0633437;-0.0057228;8;0
56.1885254;13.67;-17.69;2.0622122;-0.0055943;8;0
56.3884845;13.67;-17.65;2.0611064;-0.0054659;8;0
56.5884437;13.67;-17.6;2.0600263;-0.0053376;8;0
56.7884029;13.68;-17.53;2.0589718;-0.0052094;8;0
56.988362;13.68;-17.5;2.0579429;-0.0050812;8;0
57.1883212;13.68;-17.46;2.0569397;-0.0049531;8;0
57.3882803;13.68;-17.44;2.0559621;-0.004825;8;0
57.5882395;13.68;-17.41;2.0550101;-0.0046971;8;0
57.7881987;13.68;-17.38;2.0540837;-0.0045692;8;0
57.9881578;13.68;-17.33;2.0531828;-0.0044413;8;0
58.188117;13.68;-17.3;2.0523075;-0.0043135;8;0
58.3880762;13.68;-17.28;2.0514578;-0.0041858;8;0
58.5880353;13.69;-17.26;2.0506335;-0.0040582;8;0
58.7879945;13.69;-17.22;2.0498348;-0.0039306;8;0
58.9879537;13.69;-17.18;2.0490616;-0.0038031;8;0
