# 17b4de0d-c737-4d0b-b937-32bd2ef0c95b;;;;;;
# 603fd3987364b09f9aacb70d1ed12c268e24dd56;;;;;;
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
13.5972232;39.62;3.3;3.4054815;0.0001284;8;0
13.7971824;39.57;3.27;3.4055068;0.0001242;8;0
13.9971415;39.56;3.26;3.4055312;0.00012;8;0
14.1971007;39.54;3.25;3.4055548;0.0001156;8;0
14.3970599;39.52;3.24;3.4055774;0.0001112;8;0
14.597019;39.47;3.22;3.4055992;0.0001067;8;0
14.7969782;39.45;3.2;3.4056201;0.000102;8;0
14.9969374;39.4;3.18;3.40564;0.0000973;8;0
15.1968965;39.34;3.15;3.405659;0.0000924;8;0
15.3968557;39.32;3.14;3.405677;0.0000875;8;0
15.5968149;39.29;3.12;3.405694;0.0000825;8;0
15.796774;39.27;3.11;3.40571;0.0000774;8;0
15.9967332;39.25;3.1;3.4057249;0.0000722;8;0
16.1966924;39.23;3.09;3.4057388;0.0000669;8;0
16.3966515;39.19;3.06;3.4057517;0.0000616;8;0
16.5966107;39.17;3.05;3.4057635;0.0000562;8;0
16.7965699;39.14;3.04;3.4057741;0.0000506;8;0
16.996529;39.1;3.02;3.4057837;0.0000451;8;0
17.1964882;39.09;3.01;3.4057922;0.0000394;8;0
17.3964474;39.03;2.98;3.4057995;0.0000337;8;0
17.5964065;39.02;2.97;3.4058056;0.0000279;8;0
17.7963657;38.96;2.94;3.4058106;0.0000221;8;0
17.9963248;38.92;2.92;3.4058145;0.0000162;8;0
18.196284;38.91;2.91;3.4058171;0.0000102;8;0
18.3962432;38.88;2.89;3.4058185;0.0000041;8;0
18.5962023;38.84;2.87;3.4058187;-0.000002;8;0
18.7961615;38.81;2.85;3.4058177;-0.0000081;8;0
18.9961207;38.79;2.84;3.4058155;-0.0000143;8;0
19.1960798;38.77;2.83;3.405812;-0.0000206;8;0
19.396039;38.74;2.81;3.4058073;-0.0000269;8;0
19.5959982;38.69;2.79;3.4058013;-0.0000333;8;0
19.7959573;38.67;2.78;3.405794;-0.0000397;8;0
19.9959165;38.64;2.76;3.4057854;-0.0000462;8;0
20.1958757;38.59;2.73;3.4057755;-0.0000526;8;0
20.3958348;38.55;2.71;3.4057643;-0.000059;8;0
20.595794;38.5;2.68;3.4057519;-0.0000657;8;0
20.7957532;38.49;2.67;3.4057381;-0.0000725;8;0
20.9957123;38.45;2.65;3.4057229;-0.0000793;8;0
21.1956715;38.43;2.65;3.4057063;-0.000086;8;0
21.3956307;38.38;2.62;3.4056885;-0.0000927;8;0
21.5955898;38.36;2.61;3.4056693;-0.000099;8;0
21.795549;38.32;2.59;3.4056489;-0.0001051;8;0
21.9955081;38.26;2.58;3.4056273;-0.0001108;8;0
22.1954673;38.23;2.57;3.4056048;-0.0001138;8;0
22.3954265;38.19;2.55;3.4055818;-0.0001167;8;0
22.5953856;38.15;2.55;3.4055582;-0.000118;8;0
22.7953448;38.12;2.54;3.4055346;-0.0001181;8;0
22.995304;38.07;2.53;3.405511;-0.000118;8;0
23.1952631;38.05;2.53;3.4054876;-0.0001155;8;0
23.3952223;38.01;2.53;3.4054648;-0.0001131;8;0
23.5951815;37.96;2.53;3.4054425;-0.0001091;8;0
23.7951406;37.91;2.53;3.4054212;-0.0001041;8;0
23.9950998;37.85;2.53;3.4054009;-0.0000989;8;0
24.195059;37.81;2.53;3.4053818;-0.0000915;8;0
24.3950181;37.78;2.53;3.4053643;-0.0000842;8;0
24.5949773;37.74;2.53;3.4053483;-0.0000754;8;0
24.7949365;37.7;2.53;3.4053342;-0.0000656;8;0
