,vehicleid,recievetime,,,
218,EN12,1709221296,,,
219,EN10,1709221296,,,
220,SW02,1709221296,,,
221,SW00,1709221296,,,
222,SN13,1709221296,,,
223,SN11,1709221296,,,
224,SE13,1709221296,,,
225,SE11,1709221296,,,
226,ES03,1709221296,,,
227,ES01,1709221296,,,
228,ES00,1709221296,,,
229,EW10,1709221296,,,
230,EN13,1709221296,,,
231,EN11,1709221296,,,
232,SW03,1709221296,,,
233,SW02,1709221296,,,
234,SW00,1709221296,,,
235,SN13,1709221296,,,
236,SN10,1709221296,,,
237,SE12,1709221296,,,
238,SE11,1709221296,,,
239,ES03,1709221296,,,
240,ES01,1709221296,,,
241,ES00,1709221296,,,
242,EW12,1709221296,,,
243,EW11,1709221296,,,
244,EN12,1709221296,,,
245,EN10,1709221296,,,
246,SW02,1709221296,,,
247,SW00,1709221296,,,
248,SN12,1709221296,,,
249,SN10,1709221296,,,
250,SE11,1709221296,,,
251,ES03,1709221296,,,
252,ES02,1709221296,,,
253,ES01,1709221296,,,
254,EW13,1709221296,,,
255,EW11,1709221296,,,
256,EN13,1709221296,,,
257,EN11,1709221296,,,
258,SW03,1709221296,,,
259,SN12,1709221296,,,
260,SN10,1709221296,,,
261,SE12,1709221296,,,
262,SE11,1709221296,,,
263,ES03,1709221296,,,
264,ES00,1709221296,,,
265,EW12,1709221296,,,
266,EW10,1709221296,,,
267,EN13,1709221296,,,
268,EN11,1709221296,,,
269,SW03,1709221296,,,
270,SW00,1709221296,,,
271,SN12,1709221296,,,
272,SN10,1709221296,,,
273,SE13,1709221296,,,
274,SE10,1709221296,,,
275,ES03,1709221296,,,
276,ES02,1709221296,,,
277,ES00,1709221296,,,
278,EW13,1709221296,,,
279,EW11,1709221296,,,
280,EN13,1709221296,,,
281,EN11,1709221296,,,
282,SW03,1709221296,,,
283,SW01,1709221296,,,
284,SN13,1709221296,,,
285,SN12,1709221296,,,
286,SN11,1709221296,,,
287,SE12,1709221296,,,
288,SE11,1709221296,,,
289,ES03,1709221296,,,
290,ES01,1709221297,,,
291,EW13,1709221297,,,
