,vehicleid,transtime
98336,SE13,1709221721.1927252
98337,SE12,1709221721.197484
98338,SE11,1709221721.202036
98339,SE10,1709221721.2076507
98340,ES03,1709221721.213331
98341,ES02,1709221721.221958
98342,ES01,1709221721.226828
98343,ES00,1709221721.2313027
98344,EW13,1709221721.2401676
98345,EW12,1709221721.245016
98346,EW11,1709221721.2495217
98347,EW10,1709221721.2557595
98348,EN13,1709221721.2628388
98349,EN12,1709221721.267241
98350,EN11,1709221721.2726245
98351,EN10,1709221721.2777653
98352,SW03,1709221721.2841978
98353,SW02,1709221721.2904816
98354,SW01,1709221721.2954195
98355,SW00,1709221721.2998443
98356,SN13,1709221721.3060377
98357,SN12,1709221721.3108902
98358,SN11,1709221721.3156106
98359,SN10,1709221721.3201613
98360,SE13,1709221721.3264556
98361,SE12,1709221721.3318958
98362,SE11,1709221721.3363907
98363,SE10,1709221721.3422484
98364,ES03,1709221721.3471823
98365,ES02,1709221721.3522058
98366,ES01,1709221721.357509
98367,ES00,1709221721.3628228
98368,EW13,1709221721.3689024
98369,EW12,1709221721.3745637
98370,EW11,1709221721.3792503
98371,EW10,1709221721.383934
98372,EN13,1709221721.3889287
98373,EN12,1709221721.3935244
98374,EN11,1709221721.400271
98375,EN10,1709221721.4062457
98376,SW03,1709221721.4130316
98377,SW02,1709221721.4181378
98378,SW01,1709221721.4253566
98379,SW00,1709221721.4302452
98380,SN13,1709221721.435074
98381,SN12,1709221721.4434001
98382,SN11,1709221721.4478595
98383,SN10,1709221721.452405
98384,SE13,1709221721.4575596
98385,SE12,1709221721.462292
98386,SE11,1709221721.4670508
98387,SE10,1709221721.472609
98388,ES03,1709221721.4783375
98389,ES02,1709221721.4837222
98390,ES01,1709221721.4890041
98391,ES00,1709221721.4935753
98392,EW13,1709221721.4982588
98393,EW12,1709221721.5030136
98394,EW11,1709221721.5093868
98395,EW10,1709221721.5141106
98396,EN13,1709221721.5188644
98397,EN12,1709221721.524163
98398,EN11,1709221721.5290737
98399,EN10,1709221721.5342236
98400,SW03,1709221721.541691
98401,SW02,1709221721.5464215
98402,SW01,1709221721.5515509
98403,SW00,1709221721.5568538
98404,SN13,1709221721.5662138
98405,SN12,1709221721.5715983
98406,SN11,1709221721.576663
98407,SN10,1709221721.581552
98408,SE13,1709221721.5864043
98409,SE12,1709221721.5924037
98410,SE11,1709221721.5972414
98411,SE10,1709221721.6024172
98412,ES03,1709221721.6084712
98413,ES02,1709221721.6138701
98414,ES01,1709221721.617996
98415,ES00,1709221721.623936
98416,EW13,1709221721.6304235
98417,EW12,1709221721.6354196
98418,EW11,1709221721.6424727
98419,EW10,1709221721.6476111
98420,EN13,1709221721.6531494
98421,EN12,1709221721.6592922
98422,EN11,1709221721.6661725
98423,EN10,1709221721.6717896
98424,SW03,1709221721.6822536
98425,SW02,1709221721.6884172
98426,SW01,1709221721.6954484
98427,SW00,1709221721.7010963
98428,SN13,1709221721.7064672
98429,SN12,1709221721.7113369
98430,SN11,1709221721.7159688
98431,SN10,1709221721.7245197
98432,SE13,1709221721.729912
98433,SE12,1709221721.734929
98434,SE11,1709221721.7431397
98435,SE10,1709221721.7505453
98436,ES03,1709221721.7585378
98437,ES02,1709221721.7654784
98438,ES01,1709221721.771346
98439,ES00,1709221721.7763402
98440,EW13,1709221721.7847834
98441,EW12,1709221721.7907083
98442,EW11,1709221721.7958658
98443,EW10,1709221721.8008626
98444,EN13,1709221721.8077767
98445,EN12,1709221721.8128755
98446,EN11,1709221721.8187218
98447,EN10,1709221721.8262923
98448,SW03,1709221721.839069
98449,SW02,1709221721.8449175
98450,SW01,1709221721.85037
98451,SW00,1709221721.8580263
98452,SN13,1709221721.8636515
98453,SN12,1709221721.8688414
98454,SN11,1709221721.8761296
98455,SN10,1709221721.8813438
98456,SE13,1709221721.8865101
98457,SE12,1709221721.8940916
98458,SE11,1709221721.8996272
98459,SE10,1709221721.9080045
98460,ES03,1709221721.914005
98461,ES02,1709221721.9196675
98462,ES01,1709221721.9287977
98463,ES00,1709221721.936189
98464,EW13,1709221721.9419336
98465,EW12,1709221721.9484203
98466,EW11,1709221721.9533951
98467,EW10,1709221721.9588554
98468,EN13,1709221721.964685
98469,EN12,1709221721.9695303
98470,EN11,1709221721.9758024
98471,EN10,1709221721.981789
98472,SW03,1709221721.991766
98473,SW02,1709221721.9972253
98474,SW01,1709221722.002601
98475,SW00,1709221722.010124
98476,SN13,1709221722.0153534
98477,SN12,1709221722.023547
98478,SN11,1709221722.02845
98479,SN10,1709221722.033296
98480,SE13,1709221722.041595
98481,SE12,1709221722.0483823
98482,SE11,1709221722.0534427
98483,SE10,1709221722.05896
98484,ES03,1709221722.064305
98485,ES02,1709221722.0693333
98486,ES01,1709221722.075052
98487,ES00,1709221722.0817692
98488,EW13,1709221722.0881739
98489,EW12,1709221722.0941522
98490,EW11,1709221722.0992398
98491,EW10,1709221722.1147556
98492,EN13,1709221722.120236
98493,EN12,1709221722.1255474
98494,EN11,1709221722.1311886
98495,EN10,1709221722.1389668
98496,SW03,1709221722.1462147
98497,SW02,1709221722.1518683
98498,SW01,1709221722.1579316
98499,SW00,1709221722.1629217
98500,SN13,1709221722.1677296
98501,SN12,1709221722.1733873
98502,SN11,1709221722.1795087
98503,SN10,1709221722.1874905
98504,SE13,1709221722.1928334
98505,SE12,1709221722.1981602
98506,SE11,1709221722.2046804
98507,SE10,1709221722.2104914
98508,ES03,1709221722.215943
98509,ES02,1709221722.224308
98510,ES01,1709221722.2297347
98511,ES00,1709221722.234829
98512,EW13,1709221722.2421489
98513,EW12,1709221722.2473178
98514,EW11,1709221722.2522936
98515,EW10,1709221722.2577212
98516,EN13,1709221722.2625875
98517,EN12,1709221722.2676058
98518,EN11,1709221722.2761703
98519,EN10,1709221722.2814145
98520,SW03,1709221722.2884052
98521,SW02,1709221722.2942061
98522,SW01,1709221722.2996361
98523,SW00,1709221722.3046417
98524,SN13,1709221722.3110137
98525,SN12,1709221722.3161054
98526,SN11,1709221722.321052
98527,SN10,1709221722.3262444
98528,SE13,1709221722.3312254
98529,SE12,1709221722.3364637
98530,SE11,1709221722.3420813
98531,SE10,1709221722.3476543
98532,ES03,1709221722.3537831
98533,ES02,1709221722.3593564
98534,ES01,1709221722.3647802
98535,ES00,1709221722.3709917
98536,EW13,1709221722.3761144
98537,EW12,1709221722.3812606
98538,EW11,1709221722.38689
98539,EW10,1709221722.392721
98540,EN13,1709221722.3975892
98541,EN12,1709221722.4023614
98542,EN11,1709221722.4081798
98543,EN10,1709221722.4134402
98544,SW03,1709221722.4215572
98545,SW02,1709221722.4270048
98546,SW01,1709221722.4323542
98547,SW00,1709221722.4393446
98548,SN13,1709221722.4451556
98549,SN12,1709221722.45026
98550,SN11,1709221722.456467
98551,SN10,1709221722.4615533
98552,SE13,1709221722.4665961
98553,SE12,1709221722.4718199
98554,SE11,1709221722.4784985
98555,SE10,1709221722.4842734
98556,ES03,1709221722.4940844
98557,ES02,1709221722.5001187
98558,ES01,1709221722.5073264
98559,ES00,1709221722.5127554
98560,EW13,1709221722.5177615
98561,EW12,1709221722.524185
98562,EW11,1709221722.5305762
98563,EW10,1709221722.5368743
98564,EN13,1709221722.5478454
98565,EN12,1709221722.5529048
98566,EN11,1709221722.5597816
98567,EN10,1709221722.5655549
98568,SW03,1709221722.5766306
98569,SW02,1709221722.5820746
98570,SW01,1709221722.587771
98571,SW00,1709221722.593123
98572,SN13,1709221722.5986474
98573,SN12,1709221722.6057193
98574,SN11,1709221722.61095
98575,SN10,1709221722.6175919
98576,SE13,1709221722.6231532
98577,SE12,1709221722.6294856
98578,SE11,1709221722.634815
98579,SE10,1709221722.6414487
98580,ES03,1709221722.6472552
98581,ES02,1709221722.656203
98582,ES01,1709221722.6618824
98583,ES00,1709221722.6668122
98584,EW13,1709221722.6733086
98585,EW12,1709221722.678594
98586,EW11,1709221722.6835113
98587,EW10,1709221722.692194
98588,EN13,1709221722.6967642
98589,EN12,1709221722.7016556
