,approachLeg,waitTime
0,EWJ2,16.16291880607605
1,EWJ3,6.477022171020508
2,WEJ4,9.0938138961792
3,WEJ1,7.174986124038696
4,EWJ2,7.297987699508667
5,EWJ3,6.53760552406311
6,WEJ4,11.898192882537842
7,WEJ1,6.96663236618042
8,EWJ2,13.332447528839111
9,EWJ3,13.750216484069824
10,WEJ4,7.800853729248047
11,WEJ1,9.768940687179565
12,EWJ2,7.244967937469482
13,EWJ3,10.815499305725098
14,WEJ4,7.365523815155029
15,WEJ1,11.458236932754517
16,EWJ2,7.18806266784668
17,EWJ3,11.068682670593262
18,WEJ4,7.105064392089844
19,WEJ1,11.63027310371399
20,EWJ2,7.995232820510864
21,EWJ3,11.07387661933899
22,WEJ4,7.186968088150024
23,WEJ1,11.3034188747406
24,EWJ2,7.449304819107056
25,EWJ3,11.597931385040283
26,WEJ4,7.010263681411743
27,WEJ1,11.15454888343811
28,EWJ2,7.255710601806641
29,EWJ3,11.711546421051025
30,WEJ4,7.193399667739868
31,WEJ1,10.96514344215393
32,EWJ2,7.144591808319092
33,EWJ3,11.249369621276855
34,WEJ4,7.853501796722412
35,WEJ1,10.797354221343994
36,EWJ2,7.3094704151153564
37,EWJ3,10.912047147750854
38,WEJ4,8.014064311981201
39,WEJ1,10.721967458724976
40,EWJ2,7.61440896987915
41,EWJ3,10.637256145477295
42,WEJ4,7.4029154777526855
43,WEJ1,11.150266647338867
44,EWJ2,7.49882173538208
45,EWJ3,11.092776775360107
46,WEJ4,7.165640592575073
47,WEJ1,11.62470269203186
48,EWJ2,7.155468463897705
49,EWJ3,11.975926160812378
50,WEJ4,7.6670331954956055
51,WEJ1,6.81658148765564
52,EWJ2,8.071043014526367
53,EWJ3,6.384522199630737
54,WEJ4,11.351322174072266
55,WEJ1,6.916523694992065
56,EWJ2,12.762123823165894
57,EWJ3,6.4622273445129395
58,WEJ4,11.458250761032104
59,WEJ1,6.685889482498169
60,EWJ2,13.00371503829956
61,EWJ3,13.70260214805603
