,approachLeg,waitTime
0,SNJ1,23.00781226158142
1,SNJ2,7.205204248428345
2,NSJ3,30.451544523239136
3,NSJ4,7.154876708984375
4,SNJ1,26.705872058868408
5,SNJ2,7.010998249053955
6,NSJ3,31.8149836063385
7,NSJ4,7.1262359619140625
8,SNJ1,25.80297017097473
9,SNJ2,7.33737587928772
10,NSJ3,32.39224052429199
11,NSJ4,7.321465253829956
12,SNJ1,25.52196192741394
13,SNJ2,7.217533349990845
14,NSJ3,31.68619418144226
15,NSJ4,7.3259971141815186
16,SNJ1,25.94654130935669
17,SNJ2,7.202355623245239
18,NSJ3,31.287670373916626
19,NSJ4,7.216552972793579
20,SNJ1,26.278743743896484
21,SNJ2,7.059957265853882
22,NSJ3,31.078726530075073
23,NSJ4,7.172763824462891
24,SNJ1,25.329397439956665
25,SNJ2,7.354431867599487
26,NSJ3,31.184351205825806
27,NSJ4,7.176452398300171
28,SNJ1,26.318191528320312
29,SNJ2,7.086238622665405
30,NSJ3,31.8442599773407
31,NSJ4,7.287830114364624
32,SNJ1,25.692062854766846
33,SNJ2,7.041169881820679
34,NSJ3,31.804903507232666
35,NSJ4,7.038163661956787
