,starttime,endtime,
175,1709072169,1709072169,8.01086E-05
176,1709072169,1709072169,5.00679E-05
177,1709072169,1709072169,5.00679E-05
178,1709072169,1709072169,4.00543E-05
179,1709072169,1709072169,5.98431E-05
180,1709072169,1709072169,5.98431E-05
181,1709072169,1709072169,3.00407E-05
182,1709072169,1709072169,4.98295E-05
183,1709072169,1709072169,9.01222E-05
184,1709072170,1709072170,8.98838E-05
185,1709072170,1709072170,8.01086E-05
186,1709072170,1709072170,8.01086E-05
187,1709072170,1709072170,4.00543E-05
188,1709072170,1709072170,4.00543E-05
189,1709072170,1709072170,6.00815E-05
190,1709072170,1709072170,6.98566E-05
191,1709072170,1709072170,5.00679E-05
192,1709072170,1709072170,8.98838E-05
193,1709072170,1709072170,3.98159E-05
194,1709072171,1709072171,6.98566E-05
195,1709072171,1709072171,5.00679E-05
196,1709072171,1709072171,3.98159E-05
197,1709072171,1709072171,6.00815E-05
198,1709072171,1709072171,5.98431E-05
199,1709072171,1709072171,8.98838E-05
200,1709072171,1709072171,9.01222E-05
201,1709072171,1709072171,7.00951E-05
202,1709072171,1709072171,9.01222E-05
203,1709072171,1709072171,9.01222E-05
204,1709072172,1709072172,5.00679E-05
205,1709072172,1709072172,8.01086E-05
206,1709072172,1709072172,3.00407E-05
207,1709072172,1709072172,5.00679E-05
208,1709072172,1709072172,7.00951E-05
209,1709072172,1709072172,7.00951E-05
210,1709072172,1709072172,8.01086E-05
211,1709072172,1709072172,5.00679E-05
212,1709072172,1709072172,0.000110149
213,1709072172,1709072172,4.00543E-05
214,1709072173,1709072173,5.00679E-05
215,1709072173,1709072173,7.00951E-05
216,1709072173,1709072173,4.98295E-05
217,1709072173,1709072173,7.98702E-05
218,1709072173,1709072173,8.01086E-05
219,1709072173,1709072173,4.00543E-05
220,1709072173,1709072173,3.00407E-05
221,1709072173,1709072173,5.00679E-05
222,1709072173,1709072173,7.00951E-05
223,1709072173,1709072173,5.00679E-05
224,1709072174,1709072174,4.98295E-05
225,1709072174,1709072174,6.98566E-05
226,1709072174,1709072174,0.000100136
227,1709072174,1709072174,7.98702E-05
228,1709072174,1709072174,6.98566E-05
229,1709072174,1709072174,5.00679E-05
230,1709072174,1709072174,3.00407E-05
231,1709072174,1709072174,4.00543E-05
232,1709072174,1709072174,6.98566E-05
233,1709072174,1709072174,4.98295E-05
234,1709072175,1709072175,0
235,1709072175,1709072175,1.00136E-05
236,1709072175,1709072175,1.00136E-05
237,1709072175,1709072175,1.00136E-05
238,1709072175,1709072175,1.00136E-05
239,1709072175,1709072175,1.00136E-05
240,1709072175,1709072175,9.77516E-06
241,1709072175,1709072175,0
242,1709072175,1709072175,1.00136E-05
243,1709072175,1709072175,1.00136E-05
244,1709072176,1709072176,0
245,1709072176,1709072176,1.00136E-05
246,1709072176,1709072176,1.00136E-05
247,1709072176,1709072176,1.00136E-05
248,1709072176,1709072176,1.00136E-05
249,1709072176,1709072176,1.00136E-05
250,1709072176,1709072176,0
251,1709072176,1709072176,1.00136E-05
252,1709072176,1709072176,0
253,1709072176,1709072176,1.00136E-05
254,1709072177,1709072177,2.00272E-05
255,1709072177,1709072177,1.00136E-05
256,1709072177,1709072177,2.00272E-05
257,1709072177,1709072177,1.00136E-05
258,1709072177,1709072177,2.00272E-05
259,1709072177,1709072177,1.00136E-05
260,1709072177,1709072177,2.00272E-05
261,1709072177,1709072177,3.00407E-05
262,1709072177,1709072177,2.00272E-05
263,1709072177,1709072177,2.00272E-05
264,1709072178,1709072178,2.00272E-05
265,1709072178,1709072178,2.00272E-05
266,1709072178,1709072178,2.00272E-05
267,1709072178,1709072178,1.00136E-05
268,1709072178,1709072178,2.00272E-05
269,1709072178,1709072178,2.00272E-05
270,1709072178,1709072178,1.00136E-05
271,1709072178,1709072178,1.00136E-05
272,1709072178,1709072178,2.00272E-05
273,1709072178,1709072178,1.97887E-05
274,1709072179,1709072179,1.00136E-05
275,1709072179,1709072179,2.00272E-05
276,1709072179,1709072179,2.00272E-05
277,1709072179,1709072179,2.00272E-05
278,1709072179,1709072179,2.00272E-05
279,1709072179,1709072179,2.00272E-05
280,1709072179,1709072179,2.00272E-05
281,1709072179,1709072179,2.00272E-05
282,1709072179,1709072179,2.00272E-05
283,1709072179,1709072179,2.00272E-05
284,1709072180,1709072180,2.00272E-05
285,1709072180,1709072180,2.00272E-05
286,1709072180,1709072180,2.00272E-05
287,1709072180,1709072180,2.00272E-05
288,1709072180,1709072180,1.97887E-05
289,1709072180,1709072180,2.00272E-05
290,1709072180,1709072180,2.00272E-05
291,1709072180,1709072180,1.00136E-05
292,1709072180,1709072180,2.00272E-05
293,1709072180,1709072180,2.00272E-05
294,1709072181,1709072181,2.00272E-05
295,1709072181,1709072181,1.00136E-05
296,1709072181,1709072181,2.98023E-05
297,1709072181,1709072181,6.00815E-05
298,1709072181,1709072181,2.00272E-05
299,1709072181,1709072181,1.97887E-05
300,1709072181,1709072181,2.00272E-05
301,1709072181,1709072181,2.00272E-05
302,1709072181,1709072181,2.00272E-05
303,1709072181,1709072181,2.00272E-05
304,1709072182,1709072182,1.00136E-05
305,1709072182,1709072182,6.00815E-05
306,1709072182,1709072182,2.00272E-05
307,1709072182,1709072182,2.00272E-05
308,1709072182,1709072182,2.00272E-05
309,1709072182,1709072182,2.00272E-05
310,1709072182,1709072182,2.00272E-05
311,1709072182,1709072182,2.00272E-05
312,1709072182,1709072182,2.00272E-05
313,1709072182,1709072182,2.00272E-05
314,1709072183,1709072183,2.00272E-05
315,1709072183,1709072183,2.00272E-05
316,1709072183,1709072183,1.00136E-05
317,1709072183,1709072183,2.00272E-05
318,1709072183,1709072183,2.00272E-05
319,1709072183,1709072183,2.00272E-05
320,1709072183,1709072183,0.000829935
321,1709072183,1709072183,2.00272E-05
322,1709072183,1709072183,2.00272E-05
323,1709072183,1709072183,2.00272E-05
324,1709072184,1709072184,2.00272E-05
325,1709072184,1709072184,1.00136E-05
326,1709072184,1709072184,2.00272E-05
327,1709072184,1709072184,9.77516E-06
328,1709072184,1709072184,1.97887E-05
329,1709072184,1709072184,1.00136E-05
330,1709072184,1709072184,9.77516E-06
331,1709072184,1709072184,2.00272E-05
332,1709072184,1709072184,2.00272E-05
333,1709072184,1709072184,2.00272E-05
334,1709072185,1709072185,2.00272E-05
335,1709072185,1709072185,2.00272E-05
336,1709072185,1709072185,0
337,1709072185,1709072185,0
338,1709072185,1709072185,1.00136E-05
339,1709072185,1709072185,1.00136E-05
340,1709072185,1709072185,1.00136E-05
341,1709072185,1709072185,1.00136E-05
342,1709072185,1709072185,1.00136E-05
343,1709072185,1709072185,0
344,1709072186,1709072186,0
345,1709072186,1709072186,0
346,1709072186,1709072186,1.00136E-05
347,1709072186,1709072186,0
348,1709072186,1709072186,0
349,1709072186,1709072186,0
350,1709072186,1709072186,0
351,1709072186,1709072186,1.00136E-05
352,1709072186,1709072186,0
353,1709072186,1709072186,1.00136E-05
354,1709072187,1709072187,1.00136E-05
355,1709072187,1709072187,0
356,1709072187,1709072187,0
357,1709072187,1709072187,1.00136E-05
358,1709072187,1709072187,1.00136E-05
359,1709072187,1709072187,1.00136E-05
360,1709072187,1709072187,1.00136E-05
361,1709072187,1709072187,0
362,1709072187,1709072187,1.00136E-05
363,1709072187,1709072187,0
364,1709072188,1709072188,0
365,1709072188,1709072188,1.00136E-05
366,1709072188,1709072188,1.00136E-05
367,1709072188,1709072188,1.00136E-05
368,1709072188,1709072188,0
369,1709072188,1709072188,1.00136E-05
370,1709072188,1709072188,1.00136E-05
371,1709072188,1709072188,0
372,1709072188,1709072188,1.00136E-05
373,1709072188,1709072188,1.00136E-05
374,1709072189,1709072189,1.00136E-05
375,1709072189,1709072189,0
376,1709072189,1709072189,0
377,1709072189,1709072189,0
378,1709072189,1709072189,1.00136E-05
379,1709072189,1709072189,1.00136E-05
380,1709072189,1709072189,0
381,1709072189,1709072189,1.00136E-05
382,1709072189,1709072189,1.00136E-05
383,1709072189,1709072189,9.77516E-06
384,1709072190,1709072190,0
385,1709072190,1709072190,0
386,1709072190,1709072190,1.00136E-05
387,1709072190,1709072190,1.00136E-05
388,1709072190,1709072190,1.00136E-05
389,1709072190,1709072190,0
390,1709072190,1709072190,0
391,1709072190,1709072190,9.77516E-06
392,1709072190,1709072190,1.00136E-05
393,1709072190,1709072190,0
394,1709072191,1709072191,1.00136E-05
395,1709072191,1709072191,1.00136E-05
396,1709072191,1709072191,1.00136E-05
397,1709072191,1709072191,1.00136E-05
398,1709072191,1709072191,1.00136E-05
399,1709072191,1709072191,1.00136E-05
400,1709072191,1709072191,4.00543E-05
401,1709072191,1709072191,0
402,1709072191,1709072191,1.00136E-05
403,1709072191,1709072191,0
404,1709072192,1709072192,1.00136E-05
405,1709072192,1709072192,1.00136E-05
406,1709072192,1709072192,1.00136E-05
407,1709072192,1709072192,0
408,1709072192,1709072192,1.00136E-05
409,1709072192,1709072192,0
410,1709072192,1709072192,1.00136E-05
411,1709072192,1709072192,1.00136E-05
412,1709072192,1709072192,0
413,1709072192,1709072192,1.00136E-05
414,1709072193,1709072193,1.00136E-05
415,1709072193,1709072193,1.00136E-05
416,1709072193,1709072193,1.00136E-05
417,1709072193,1709072193,0
418,1709072193,1709072193,0
419,1709072193,1709072193,0
420,1709072193,1709072193,1.00136E-05
421,1709072193,1709072193,0
422,1709072193,1709072193,0
423,1709072193,1709072193,0
424,1709072194,1709072194,1.00136E-05
425,1709072194,1709072194,0
426,1709072194,1709072194,1.00136E-05
427,1709072194,1709072194,0
428,1709072194,1709072194,0
429,1709072194,1709072194,0
430,1709072194,1709072194,1.00136E-05
431,1709072194,1709072194,1.00136E-05
432,1709072194,1709072194,0
433,1709072194,1709072194,0
