,approachLeg,waitTime
0,SNJ1,10.208523511886597
1,SNJ2,7.689366579055786
2,NSJ3,7.429522514343262
3,NSJ4,7.6609179973602295
4,SNJ1,18.599635124206543
5,SNJ2,11.890446424484253
6,NSJ3,7.372420787811279
7,NSJ4,9.306789636611938
8,SNJ1,11.19790005683899
9,SNJ2,11.750437498092651
10,NSJ3,7.364776849746704
11,NSJ4,8.903847217559814
12,SNJ1,14.39107632637024
13,SNJ2,11.129973888397217
14,NSJ3,7.147669315338135
15,NSJ4,9.047236442565918
16,SNJ1,14.326236486434937
17,SNJ2,11.638559341430664
18,NSJ3,7.354176998138428
19,NSJ4,9.318138122558594
20,SNJ1,14.11357569694519
21,SNJ2,11.007051944732666
22,NSJ3,7.241661548614502
23,NSJ4,9.610992193222046
24,SNJ1,14.667462348937988
25,SNJ2,11.04172945022583
26,NSJ3,7.414446115493774
27,NSJ4,9.332433223724365
28,SNJ1,14.493169069290161
29,SNJ2,10.862150430679321
30,NSJ3,7.131930589675903
31,NSJ4,10.08418893814087
32,SNJ1,13.71535038948059
33,SNJ2,10.882137775421143
34,NSJ3,7.461642503738403
35,NSJ4,9.262601852416992
36,SNJ1,14.036396503448486
37,SNJ2,11.039839744567871
38,NSJ3,7.366451263427734
39,NSJ4,9.622863531112671
40,SNJ1,13.916815280914307
41,SNJ2,10.862913846969604
42,NSJ3,7.0776145458221436
43,NSJ4,9.852045059204102
44,SNJ1,14.1457359790802
45,SNJ2,12.137519836425781
46,NSJ3,7.280983924865723
47,NSJ4,9.653263092041016
48,SNJ1,13.779155492782593
49,SNJ2,11.200130939483643
50,NSJ3,7.0846662521362305
