#x,y,,
-2.24138,-0.908594,1,1
-2.241346715,-0.908594,1,1
-2.241115303,-0.908594,1,1
-2.240562044,-0.908593994,1,1
-2.239702243,-0.90859392,1,1
-2.238550475,-0.908593588,1,1
-2.237120625,-0.908592627,1,1
-2.235425914,-0.908590446,1,1
-2.233478941,-0.908586194,1,1
-2.231291705,-0.908578742,1,1
-2.22887564,-0.908566659,1,1
-2.226241645,-0.908548198,1,1
-2.223400112,-0.908521286,1,1
-2.220360959,-0.908483514,1,1
-2.217133653,-0.908432133,1,1
-2.213727247,-0.908364049,1,1
-2.210150404,-0.908275942,1,1
-2.206411411,-0.908164715,1,1
-2.202518178,-0.908028122,1,1
-2.198478272,-0.907863961,1,1
-2.194298933,-0.907670085,1,1
-2.189987093,-0.907444407,1,1
-2.185549392,-0.907184911,1,1
-2.18099219,-0.906889645,1,1
-2.176321582,-0.906556733,1,1
-2.171543414,-0.906184372,1,1
-2.16666329,-0.905770832,1,1
-2.16168659,-0.905314461,1,1
-2.156706566,-0.9042765,1,1
-2.151726613,-0.90284144,1,1
-2.14671243,-0.901220427,1,1
-2.141647404,-0.89949116,1,1
-2.13652686,-0.897682835,1,1
-2.131351363,-0.895806554,1,1
-2.12612353,-0.893866541,1,1
-2.120846708,-0.891864374,1,1
-2.11552445,-0.889800614,1,1
-2.110160302,-0.887675431,1,1
-2.104757729,-0.885488854,1,1
-2.099320082,-0.883240868,1,1
-2.093850589,-0.880931456,1,1
-2.08835236,-0.878560611,1,1
-2.082828386,-0.876128344,1,1
-2.077281545,-0.873634687,1,1
-2.071714603,-0.871079692,1,1
-2.066130225,-0.86846343,1,1
-2.060530973,-0.865785995,1,1
-2.054919317,-0.863047498,1,1
-2.049297632,-0.86024807,1,1
-2.043663217,-0.857397685,1,1
-2.037998011,-0.854535934,1,1
-2.032290238,-0.851689791,1,1
-2.026534577,-0.848873836,1,1
-2.020728621,-0.846097182,1,1
-2.014871273,-0.84336654,1,1
-2.008962042,-0.840687586,1,1
-2.003000737,-0.838065565,1,1
-1.996987338,-0.835505563,1,1
-1.990921954,-0.833012631,1,1
-1.984804803,-0.830591839,1,1
-1.978636218,-0.828248296,1,1
-1.972416655,-0.82598716,1,1
-1.966146707,-0.823813641,1,1
-1.959827113,-0.821733001,1,1
-1.953458775,-0.819750548,1,1
-1.947042771,-0.817871632,1,1
-1.940580369,-0.816101646,1,1
-1.93407304,-0.81444601,1,1
-1.927522475,-0.812910174,1,1
