,vehicleid,delaytime
222,EW1223,6.262033224
223,EW1226,6.268501043
224,EN1232,6.303356886
225,SW0207,81.90512681
226,SW0217,51.889117
227,SW0219,50.98078752
228,SW0227,37.18009257
229,SW0231,23.97409916
230,SN1220,75.55637836
231,SE1238,6.596953869
232,SN1225,68.37170506
233,SN1235,20.09365034
234,SN1237,10.79094744
235,SE1240,6.28915453
236,SE1241,6.285213709
237,SN1245,6.300925255
238,ES0230,80.69292569
239,ES0233,67.79524302
240,ES0234,61.49407792
241,ES0236,36.89388061
242,ES0239,34.7916398
243,ES0243,6.276018143
244,ES0247,6.282045841
245,ES0248,6.273015976
246,EN1242,49.79640889
247,EW1246,32.39816451
248,EN1244,36.28773594
249,EW1249,26.37308931
250,EN1253,6.604016542
251,EW1251,15.60125685
,,
,,33.3086769
