,Unnamed: 0.1,Unnamed: 0,vehicleid,junctionid,approachleg,departleg,distfromstopline,point,arrivaltime,speed,priority,stoppedtime,waitingtime,timestamp
0,0,0,WN0846,JC1,WN0,WN0,16.12256646315654,"(10.729999542236328, 21.940000534057617)",0.0,0.0,0,1711656023.851407,18.63347625732422,18.21613121032715
1,5,1,NS1793,JC1,NS1,NS1,-0.719275920631299,"(16.889999389648438, 2.6600000858306885)",1711655988.9840913,0.0,0,1711656018.0682623,24.41662096977234,24.11985492706299
2,4,1,WE1811,JC1,WE1,WE1,-0.1713120675842772,"(9.229999542236328, 5.340000152587891)",1711656013.393856,3.0,0,1711656011.7453918,30.73949146270752,21.176494598388672
3,7,1,ES0717,JC1,ES0,ES0,-0.2125921033340605,"(12.09000015258789, -3.25)",1711655907.2482996,3.0,0,1711655993.2517164,49.23316693305969,43.18239402770996
