,vehicleid,delaytime,,
219,SN1226,6.298083782,,
220,SW0201,49.80936861,,
221,SW0204,46.19797564,,
222,SW0217,26.98536873,,
223,EN1216,33.279603,,
224,EW1227,11.39710569,,
225,EN1225,15.58308673,,
226,EW1233,6.296422482,,
227,ES0221,32.97273517,,
228,ES0224,29.68754196,,
229,SN1228,35.10212755,,
230,SE1231,27.62465262,,
231,SN1229,34.49012232,,
232,SE1243,10.2158401,,
233,SN1235,23.40222883,,
234,SN1237,18.28819132,,
235,SN1238,18.29742551,,
236,SN1242,6.275426149,,
237,SE1250,6.269824743,,
238,SE1252,6.316039562,,
239,EN1239,27.59304237,,
240,EW1236,28.51081991,,
241,EN1244,21.60804033,,
242,EW1240,27.00543475,,
243,EN1245,21.59812641,,
244,EN1247,21.60470963,,
245,EW1246,21.5956409,,
246,EN1260,6.292987108,,
247,ES0249,40.492594,,
248,ES0251,39.89387012,,
249,ES0255,22.49413633,,
250,ES0256,18.59387469,,
251,SW0230,79.18705511,,
252,SW0232,71.15597367,,
253,SW0234,70.49466515,,
254,SW0241,61.83121133,,
255,SW0248,54.6059494,,
256,SW0254,6.609609365,,
257,SW0258,6.580160856,,
258,SW0261,6.57315135,,
259,SW0271,6.505022526,,
260,SW0273,6.580287457,,
261,SN1253,51.24873281,,
262,SE1257,39.57053018,,
263,SE1259,38.12380624,,
264,SN1267,24.61961031,,
265,SE1263,30.31249976,,
266,SN1275,13.75692558,,
267,SE1264,30.00827765,,
268,SN1276,13.85285258,,
269,SE1268,24.90952802,,
270,SN1278,6.260621309,,
271,SE1270,6.257718563,,
272,SN1281,6.301442385,,
273,SN1282,6.32294035,,
274,SN1283,6.253534317,,
275,SN1285,6.272624254,,
276,SN1286,6.301887035,,
277,EN1287,7.809717417,,
278,EW1262,47.99705386,,
279,EW1265,43.52455091,,
280,EW1266,43.50537395,,
281,EW1269,36.90326238,,
282,EW1272,34.78901792,,
283,EW1277,6.278880119,,
284,EW1279,6.303175926,,
285,EW1291,6.251485348,,
286,ES0274,38.69473028,,
287,ES0289,11.69972086,,
288,ES0292,9.602483273,,
289,ES0295,6.294205427,,
290,ES0298,6.295257092,,
291,ES0299,6.29141593,,
292,SW0280,36.02547479,,
293,SW0284,32.99896049,,
294,SW0288,26.39917326,,
295,SW0293,16.21264267,,
296,ES0301,13.2061646,,
297,ES0303,12.28618646,,
298,ES0310,6.306041718,,
299,SN1294,34.17146611,,
300,SE1290,42.27149391,,
301,SN1302,26.37521911,,
302,SE1296,34.13076496,,
303,SN1305,25.4738121,,
304,SE1306,24.91691875,,
305,SN1307,14.40704679,,
